場館,一月,二月,三月,四月,五月,六月,七月,八月,九月
花蓮縣吉安鄉阿美族文物館,212,302,538,369,433,433,2135,1135,983
花蓮縣瑞穗鄉奇美原住民文物館,302,410,143,103,80,95,155,129,415
花蓮縣壽豐鄉原住民文物館,448,472,229,234,342,347,504,496,783
花蓮縣台灣原住民族文化館,192,408,312,85,412,928,1578,1042,2538
花蓮縣萬榮鄉原住民文物館 ,124,211,164,204,235,225,223,553,358
基隆市原住民文化會館,3574,426,3570,"3,050",4602,5760,7008,7442,6976
嘉義縣阿里山鄒族自然與文化中心,1286,6590,1910,"1,247",638,1761,1957,2253,1794
臺北市政府原委員會凱達格蘭文化館,20222,19246,13039,"8,494",10715,16012,24357,38707,27682
桃園市原住民文化會館,8250,4709,6408,"3,690",4181,4827,7924,8596,11730
新北市烏來泰雅民族博物館,27021,14843,5107,-,2038,3881,4185,6965,4211
新竹縣尖石鄉原住民文化館,6230,3610,2970,"3,024",5520,4900,6800,6950,5734
新竹縣五峰鄉賽夏族矮人祭場文物館,615,432,284,304,358,439,564,475,475
宜蘭縣大同鄉泰雅生活館,2040,1207,645,547,326,481,1721,2627,848
宜蘭縣南澳鄉泰雅文化館,397,443,363,332,264,135,72,332,25